"CBO94";"CBO2002";"CIUO88";"titulo"
"X4010";"020105";"0110";"Fuerzas armadas"
"X4020";"020205";"0110";"Fuerzas armadas"
"X4030";"021105";"0110";"Fuerzas armadas"
"X4040";"021210";"0110";"Fuerzas armadas"
"X5010";"010110";"0110";"Fuerzas armadas"
"X5020";"010210";NA;NA
"X5030";"010310";NA;NA
"X5040";"010310";NA;NA
"X6010";"010115";"0110";"Fuerzas armadas"
"X6020";"010215";NA;NA
"X6030";"010215";NA;NA
"X6040";"010315";NA;NA
"X7010";"020105";"0110";"Fuerzas armadas"
"X7020";"020205";"0110";"Fuerzas armadas"
"X7030";"021110";"0110";"Fuerzas armadas"
"X7040";"021205";"0110";"Fuerzas armadas"
"X8010";"020105";"0110";"Fuerzas armadas"
"X8020";"020205";"0110";"Fuerzas armadas"
"X8030";"020205";"0110";"Fuerzas armadas"
"X8030";"021110";"0110";"Fuerzas armadas"
"X8040";"021205";"0110";"Fuerzas armadas"
"01105";"213210";"2113";"Químicos"
"01110";"213205";"2113";"Químicos"
"01125";"213205";"2113";"Químicos"
"01145";"213210";"2113";"Químicos"
"01150";"213205";"2113";"Químicos"
"01155";"213205";"2113";"Químicos"
"01190";"213205";"2113";"Químicos"
"01190";"213210";"2113";"Químicos"
"01210";"213105";"2111";"Físicos y astrónomos"
"01215";"213150";"2111";"Físicos y astrónomos"
"01220";"213105";"2111";"Físicos y astrónomos"
"01230";"213175";"2111";"Físicos y astrónomos"
"01235";"213105";"2111";"Físicos y astrónomos"
"01240";"213160";"2111";"Físicos y astrónomos"
"01250";"213110";"2111";"Físicos y astrónomos"
"01260";"213105";"2111";"Físicos y astrónomos"
"01270";"213105";"2111";"Físicos y astrónomos"
"01280";"213155";"2111";"Físicos y astrónomos"
"01290";"213105";"2111";"Físicos y astrónomos"
"01290";"213125";"2111";"Físicos y astrónomos"
"01290";"213135";"2111";"Físicos y astrónomos"
"01290";"213150";"2111";"Físicos y astrónomos"
"01290";"301110";"3116";"Técnicos en química industrial"
"01920";"213415";"2114";"Geólogos y geofísicos"
"01930";"213315";"2112";"Meteorólogos"
"01940";"213305";"2111";"Físicos y astrónomos"
"01950";"203215";"2143";"Ingenieros electricistas"
"01990";"213120";"2111";"Físicos y astrónomos"
"01990";"213415";"2114";"Geólogos y geofísicos"
"01990";"213420";"2114";"Geólogos y geofísicos"
"01990";"301110";"3116";"Técnicos en química industrial"
"01990";"311510";"3111";"Técnicos en ciencias físicas y químicas"
"01990";"316105";"3111";"Técnicos en ciencias físicas y químicas"
"02020";"222110";"2213";"Agrónomos y afines"
"02040";"222120";"2213";"Agrónomos y afines"
"02060";"222115";"2213";"Agrónomos y afines"
"02090";"222110";"2213";"Agrónomos y afines"
"02090";"222120";"2213";"Agrónomos y afines"
"02110";"214205";"2142";"Ingenieros civiles"
"02115";"214215";"2142";"Ingenieros civiles"
"02125";"214255";"2142";"Ingenieros civiles"
"02135";"214210";"2142";"Ingenieros civiles"
"02145";"214225";"2142";"Ingenieros civiles"
"02150";"214245";"2142";"Ingenieros civiles"
"02155";"214265";"2142";"Ingenieros civiles"
"02160";"214230";"2142";"Ingenieros civiles"
"02165";"214260";"2142";"Ingenieros civiles"
"02170";"214240";"2142";"Ingenieros civiles"
"02175";"214105";"2141";"Arquitectos, urbanistas e ingenieros de tránsito"
"02180";"214125";"2141";"Arquitectos, urbanistas e ingenieros de tránsito"
"02185";"214120";"2141";"Arquitectos, urbanistas e ingenieros de tránsito"
"02190";"141305";"1313";"Gerentes de empresas de construcción y obras públicas"
"02190";"203205";"2142";"Ingenieros civiles"
"02190";"214105";"2141";"Arquitectos, urbanistas e ingenieros de tránsito"
"02190";"214110";"2141";"Arquitectos, urbanistas e ingenieros de tránsito"
"02190";"214205";"2142";"Ingenieros civiles"
"02190";"214215";"2142";"Ingenieros civiles"
